Year,Water content measured (ppm),Total Acid Number (mgKOH/ g),"BreakdownVoltage (kV)",Dissipation Factor ,Colour,Interfacial Tension (mN/m),Class
1986,7,0.038,83,0.026,2,19,B
1976,9,0.047,71,0.05,3,19,B
1976,5,0.032,70,0.005,3,19,B
1979,8,0.054,91,0.052,2,19,B
1991,2,0.13,94.9,0.035,3,19,B
1991,4,0.144,63,0.033,2,19,B
1976,7,0.059,29,0.058,3,19,B
1976,6,0.048,64,0.035,2,19,B
1991,3,0.005,69,0.035,3,19,B
1976,3,0.038,93,0.037,3,19,B
1976,6,0.07,87,0.04,3,19,B
1979,13,0.125,60,0.067,3,20,B
1979,9,0.094,87,0.044,2,20,B
1978,32,0.037,17,0.014,2,20,B
1979,6,0.064,87,0.066,3,20,B
1976,7,0.039,74,0.041,3.5,20,B
1976,2,0.036,90,0.034,2,20,B
1976,3,0.043,83,0.048,3,20,B
1982,9,0.005,89,0.049,3,20,B
1986,2,0.042,93,0.028,3,20,B
1986,4,0.037,80,0.022,3,20,B
1986,2,0.095,64,0.021,3.5,20,B
1986,6,0.039,77,0.02,3,20,B
1986,1,0.018,86,0.018,2,20,B
1991,2,0.09,76,0.027,3,20,B
1991,2,0.074,82,0.031,2,20,B
1976,8,0.012,76,0.029,2,20,B
1976,6,0.048,76,0.035,2,20,B
1976,7,0.037,84,0.042,3,20,B
1976,1,0.133,76,0.048,3,20,B
1979,15,0.044,53,0.031,2,21,M
1979,9,0.049,61,0.059,3,21,M
1976,5,0.016,57,0.039,2,21,M
1979,14,0.04,76,0.035,2,21,M
1979,19,0.02,59,0.027,2,21,M
1979,21,0.027,68,0.057,2,21,M
1979,21,0.032,74,0.039,2,21,M
1976,5,0.043,65,0.035,1,21,M
1979,17,0.05,95.4,0.026,2,21,M
2007,7,0.04,54,0.029,1,21,M
1991,3,0.02,81,0.031,3,21,M
1991,1,0.041,88,0.036,3,21,M
1976,2,0.032,82,0.032,2,21,M
1976,7,0.054,82,0.037,2,21,M
1976,5,0.087,56,0.034,2,21,M
1976,6,0.016,76,0.024,2,21,M
1976,4,0.019,74,0.035,2,21,M
1979,11,0.046,30,0.054,3,21,M
1982,7,0.015,97,0.021,3,21,M
1982,5,0.024,94,0.032,3,21,M
1976,2,0.025,39,0.032,3,21,M
1979,18,0.031,56,0.04,1,22,M
1979,13,0.032,69,0.035,2,22,M
1976,4,0.034,68,0.037,1,22,M
1982,1,0.063,65,0.02,3,22,M
2004,8,0.023,74,0.021,1,22,M
1979,20,0.035,45,0.044,2,22,M
1982,1,0.018,66,0.023,3,22,M
1982,1,0.065,86,0.018,3.5,22,M
1979,16,0.034,54,0.064,2,22,M
1976,5,0.024,46,0.024,2,22,M
1982,1,0.037,80,0.018,3,22,M
1982,1,0.033,57,0.024,3,22,M
1979,7,0.041,66,0.032,1,22,M
1979,12,0.055,58,0.025,2,23,M
1979,12,0.041,86,0.04,2,23,M
1978,11,0.046,75,0.025,1,23,M
1979,12,0.025,24,0.024,2,23,M
1982,7,0.015,75,0.026,3,23,M
1991,4,0.045,82,0.041,2,23,M
1976,6,0.083,85,0.032,2,23,M
2008,9,0.005,86,0.003,0,23,M
1979,4,0.024,62,0.023,2,23,M
1979,13,0.005,48,0.038,2,24,M
1979,6,0.036,77,0.034,2,24,M
1979,5,0.045,78,0.033,1,24,M
1979,13,0.015,19,0.017,1,24,M
1979,9,0.055,50,0.027,1,24,M
1979,11,0.021,74,0.024,2,24,M
1979,5,0.0367,77,0.03,1,24,M
1979,4,0.029,76,0.037,1,24,M
1979,29,0.028,76,0.011,2,24,M
1979,24,0.039,48,0.035,1,24,M
1979,9,0.025,63,0.032,2,24,M
1982,5,0.052,65,0.025,3,24,M
1976,19,0.027,57,0.016,2,25,M
1979,4,0.024,78,0.036,2,25,M
1979,4,0.024,64,0.023,2,25,M
1979,8,0.024,58,0.034,2,25,M
1979,3,0.026,84,0.025,2,25,M
1979,5,0.023,66,0.028,1,25,M
1979,6,0.067,78,0.045,2,25,M
1979,10,0.019,72,0.019,2,25,M
1975,12,0.048,90.2,0.024,2,25,M
1979,3,0.027,72,0.03,1,25,M
1979,8,0.019,87,0.021,2,25,M
